,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-05-21,522,580,576,611,550,718,1247,2685,3507,3556,3860,4471,4787,3939,4624,4305,3541,3626,2395,1457,1546,1326,992,769,1
2020-05-22,469,554,396,303,390,748,1379,2798,3223,3815,4724,5628,5067,5298,5576,5016,4164,4116,3780,2190,1418,858,1426,1291,1
2020-05-23,1132,603,854,408,540,1013,1264,2370,2639,3117,4231,4485,4647,4908,5872,5123,4218,2954,2654,1894,1491,1291,1078,2181,1
2020-05-24,2909,2148,1523,1764,1132,1016,1280,2399,2873,4004,7150,7566,6905,7345,7147,5468,4292,3557,3089,1788,1591,1275,991,1075,1
2020-05-25,897,600,621,493,649,972,1590,2954,3671,3451,5113,5749,5931,5568,5799,5433,4519,5129,3381,2403,1616,1192,699,1007,1
2020-05-26,574,843,478,305,576,703,1500,2873,3538,4156,4939,5664,6562,5306,5603,5372,4156,4713,3372,2061,1407,1355,867,833,1
2020-05-27,473,390,563,600,792,924,1766,3084,3940,4199,6371,6697,6499,6486,5970,5446,5473,4839,3526,2593,2224,1752,1386,1148,1
2020-05-28,608,501,684,439,461,712,1284,2620,4101,3772,4959,5881,6874,6267,6747,5796,5016,5450,3572,2298,1471,975,950,828,1
2020-05-29,715,446,429,1146,503,597,1400,2854,3666,5014,6212,8147,8083,6747,7820,6015,6015,5009,4777,3371,1733,1501,1688,1139,1
2020-05-30,560,573,723,793,719,1401,1820,3492,4991,5597,7823,11003,11081,10892,11932,9437,8563,6617,3904,2666,2250,2195,2082,1240,1
2020-05-31,868,1268,970,626,631,1226,1845,2992,4314,5885,9557,12100,12093,10136,8844,8722,7577,4604,3201,2199,1243,1262,1105,1417,1
2020-06-01,930,373,367,259,320,542,1316,2953,4340,4209,6784,6862,6255,6309,6147,5963,5505,5171,3668,2292,1686,1423,1011,1083,1
2020-06-02,737,574,473,497,578,824,1298,3143,4832,5896,6341,7303,7825,7690,7522,6294,6626,6142,4533,2525,1289,1463,1388,1313,1
2020-06-03,767,429,476,368,448,767,1540,3754,4554,4803,6780,7359,7068,8178,7374,7006,6422,6134,3842,2229,2128,1344,1236,1316,1
2020-06-04,494,389,478,527,494,724,1397,3242,5631,4961,6661,7543,6711,7768,7039,6791,6489,5584,4539,3203,1916,2399,1223,805,1
2020-06-05,672,692,504,469,526,999,1435,3208,4933,5169,7778,8392,9693,10266,10954,8295,8932,7132,5189,3059,1998,1882,1350,1343,1
2020-06-06,1163,886,1259,919,776,1126,2107,3492,5571,7347,11219,13866,15148,16556,14364,14159,11952,7850,4629,2711,2463,1656,1500,1259,1
2020-06-07,1096,678,843,655,637,1046,1575,2954,6326,7894,14362,16249,18937,18536,17061,15588,15747,8643,4864,2759,1963,1742,1302,1043,1
2020-06-08,1021,531,505,470,636,844,1530,3859,5131,5653,8501,9706,10213,9843,9193,9019,7777,7108,4362,3478,1754,1864,1292,916,1
2020-06-09,735,423,452,432,577,879,1697,3376,5151,5612,7570,8720,8530,9423,9481,8953,7721,6941,4762,2463,1709,1336,1227,1029,1
2020-06-10,436,410,561,341,473,957,1440,3206,4820,4835,7749,9679,10194,8870,8789,8505,8018,7460,4819,2640,2077,2547,1795,938,1
2020-06-11,574,431,399,515,491,805,1326,3012,4726,4934,7092,7085,7372,6936,6706,6464,4938,5458,2986,1842,2005,1715,955,632,1
2020-06-12,538,391,405,463,565,761,1604,3380,4291,5252,8179,9971,10230,10925,10582,8521,9834,7100,5362,3801,2485,2005,1893,1392,1
2020-06-13,702,537,852,699,697,1107,1602,2715,5057,7317,12672,14620,15782,15244,15792,13793,9706,6943,4175,2270,2333,1599,1021,1203,1
2020-06-14,525,388,468,374,496,740,1264,2760,4429,6896,13518,19663,17172,15073,16095,13293,12264,7251,4326,2725,2357,1793,1213,1048,1
2020-06-15,738,703,442,498,675,835,1788,3611,5841,5979,10072,11010,11928,10388,11226,10609,10165,6607,4846,2815,1836,1632,1400,1061,1
2020-06-16,312,275,304,396,487,724,1671,3704,5386,5616,8765,11814,10981,10552,10221,11649,10276,8587,5060,3087,2236,1759,1600,939,1
2020-06-17,952,423,482,465,511,909,1489,3412,5089,5965,9213,10600,11064,11692,11512,11179,9454,7648,5343,3049,1817,1530,1115,1410,1
2020-06-18,452,251,224,293,431,552,1258,2881,5004,6093,8448,9850,10018,8870,10372,9849,8526,7818,5157,3962,2678,1944,1719,1622,1
2020-06-19,657,300,425,337,479,779,1555,3018,5358,5739,8817,11161,11717,11522,12641,13445,9260,7239,4517,2843,1751,1857,1093,801,1
2020-06-20,1046,740,395,433,659,1168,1947,3887,7522,13377,18939,23095,25644,25740,27401,25284,21622,14428,10482,5547,3722,2647,2395,2065,0
2020-06-21,1023,1113,697,778,664,876,1864,4335,7911,11196,19304,23543,24698,22719,22950,23314,19212,14064,9020,5367,4667,3420,1471,1115,0
2020-06-22,577,572,346,423,403,660,1426,3712,5680,7356,12384,13159,11908,10595,10409,9285,10966,7641,5839,2526,1692,1470,1117,719,1
2020-06-23,673,451,306,383,430,814,1482,3601,5158,5707,11240,12739,12528,11528,13215,12627,9411,8611,4857,3521,2029,1783,1486,1504,1
2020-06-24,506,322,466,417,649,1024,1661,3572,6381,6298,11050,13501,13924,12430,13277,12806,11329,8593,5059,3328,1903,2043,1542,1257,1
2020-06-25,999,794,350,403,485,705,1498,3593,5460,6533,10245,11435,11269,10877,11999,9862,10465,9313,6240,3617,2610,2172,1257,889,1
2020-06-26,572,775,751,350,412,689,1971,3903,5735,6337,12367,14690,15056,14642,15842,13012,10703,9532,4690,3962,2017,1618,1550,1067,1
2020-06-27,672,624,587,699,553,1048,2123,4761,8199,13364,23355,28318,29907,30109,29115,28970,23453,18901,10446,6406,3493,2683,1994,1626,0
2020-06-28,1518,978,1669,915,605,978,1619,2776,5326,8937,23413,23941,21328,19839,20120,20377,16581,12420,6487,2937,2288,1829,1668,1264,0
2020-06-29,623,382,322,380,437,806,1924,4007,5484,7231,14450,17362,16696,16290,16598,14889,14644,10307,6378,3268,2524,1782,968,990,1
2020-06-30,462,397,553,690,570,911,1988,3817,5498,5970,9787,12948,11467,12940,12295,10620,9197,8152,6081,3436,2122,1578,1277,893,1
